Algorithm,Threads,Size,Time
bitonic,7,524288,0.086938
bitonic,7,1048576,0.181091
bitonic,7,2097152,0.381084
bitonic,7,4194304,0.816691
bitonic,7,8388608,1.74612
bitonic,7,16777216,3.497178
bitonic,7,33554432,7.137938
bitonic,7,67108864,14.698882
bitonic,7,134217728,30.270273
bitonic,8,1,0.000055
bitonic,8,2,0.000029
bitonic,8,4,0.000024
bitonic,8,8,0.000162
bitonic,8,16,0.000182
bitonic,8,32,0.000174
bitonic,8,64,0.000149
bitonic,8,128,0.000179
bitonic,8,256,0.00017
bitonic,8,512,0.000184
bitonic,8,1024,0.000219
bitonic,8,2048,0.000319
bitonic,8,4096,0.000548
bitonic,8,8192,0.000894
bitonic,8,16384,0.001209
bitonic,8,32768,0.002987
bitonic,8,65536,0.003545
bitonic,8,131072,0.006127
bitonic,8,262144,0.01312
bitonic,8,524288,0.02363
bitonic,8,1048576,0.047895
bitonic,8,2097152,0.099448
bitonic,8,4194304,0.21664
bitonic,8,8388608,0.508562
bitonic,8,16777216,1.057079
bitonic,8,33554432,2.17641
bitonic,8,67108864,4.534603
bitonic,8,134217728,9.458329
bitonic,9,1,0.000282
bitonic,9,2,0.000246
bitonic,9,4,0.000204
bitonic,9,8,0.000181
bitonic,9,16,0.000174
bitonic,9,32,0.000222
bitonic,9,64,0.000184
bitonic,9,128,0.000203
bitonic,9,256,0.000218
bitonic,9,512,0.000233
bitonic,9,1024,0.000303
bitonic,9,2048,0.000393
bitonic,9,4096,0.000641
bitonic,9,8192,0.001167
bitonic,9,16384,0.001575
bitonic,9,32768,0.003713
bitonic,9,65536,0.005724
bitonic,9,131072,0.011072
bitonic,9,262144,0.019047
bitonic,9,524288,0.036448
bitonic,9,1048576,0.072153
bitonic,9,2097152,0.149392
bitonic,9,4194304,0.320109
bitonic,9,8388608,0.784587
bitonic,9,16777216,1.563019
bitonic,9,33554432,3.19398
bitonic,9,67108864,6.750989
bitonic,9,134217728,13.819309
bitonic,10,1,0.00006
bitonic,10,2,0.00003
bitonic,10,4,0.000028
bitonic,10,8,0.00022
bitonic,10,16,0.000197
bitonic,10,32,0.000214
bitonic,10,64,0.00024
bitonic,10,128,0.000223
bitonic,10,256,0.000267
bitonic,10,512,0.000241
bitonic,10,1024,0.000316
bitonic,10,2048,0.000382
bitonic,10,4096,0.000631
bitonic,10,8192,0.001346
bitonic,10,16384,0.001779
bitonic,10,32768,0.003216
bitonic,10,65536,0.006312
bitonic,10,131072,0.012463
bitonic,10,262144,0.02293
bitonic,10,524288,0.04404
bitonic,10,1048576,0.087695
bitonic,10,2097152,0.182493
bitonic,10,4194304,0.370885
bitonic,10,8388608,0.89183
bitonic,10,16777216,1.857966
bitonic,10,33554432,3.71021
bitonic,10,67108864,7.554927
bitonic,10,134217728,15.825799
bitonic,11,1,0.000298
bitonic,11,2,0.000269
bitonic,11,4,0.00023
bitonic,11,8,0.000243
bitonic,11,16,0.000199
bitonic,11,32,0.000251
bitonic,11,64,0.00026
bitonic,11,128,0.000257
bitonic,11,256,0.000239
bitonic,11,512,0.000292
bitonic,11,1024,0.000359
bitonic,11,2048,0.000557
bitonic,11,4096,0.00074
bitonic,11,8192,0.001307
bitonic,11,16384,0.003132
bitonic,11,32768,0.003186
bitonic,11,65536,0.006547
bitonic,11,131072,0.01493
bitonic,11,262144,0.026642
bitonic,11,524288,0.055813
bitonic,11,1048576,0.114968
bitonic,11,2097152,0.206073
bitonic,11,4194304,0.434919
bitonic,11,8388608,1.047454
bitonic,11,16777216,2.066022
bitonic,11,33554432,4.25436
bitonic,11,67108864,8.751494
bitonic,11,134217728,17.747258
bitonic,12,1,0.000065
bitonic,12,2,0.000028
bitonic,12,4,0.000027
bitonic,12,8,0.000262
bitonic,12,16,0.000261
bitonic,12,32,0.000253
bitonic,12,64,0.000246
