Algorithm,Threads,Size,Time
basic,8,4194304,0.055828
basic,8,8388608,0.118525
basic,8,16777216,0.24838
basic,8,33554432,0.512913
basic,8,67108864,1.060884
basic,8,134217728,2.218713
basic,9,1,0.000001
basic,9,2,0.000001
basic,9,4,0.000001
basic,9,8,0.000001
basic,9,16,0.000001
basic,9,32,0.000001
basic,9,64,0.000001
basic,9,128,0.000001
basic,9,256,0.000003
basic,9,512,0.000004
basic,9,1024,0.000011
basic,9,2048,0.000022
basic,9,4096,0.000041
basic,9,8192,0.000076
basic,9,16384,0.000148
basic,9,32768,0.000309
basic,9,65536,0.000641
basic,9,131072,0.001364
basic,9,262144,0.002864
basic,9,524288,0.006085
basic,9,1048576,0.012808
basic,9,2097152,0.027156
basic,9,4194304,0.057143
basic,9,8388608,0.117054
basic,9,16777216,0.248154
basic,9,33554432,0.509668
basic,9,67108864,1.061644
basic,9,134217728,2.238424
basic,10,1,0.000001
basic,10,2,0.000001
basic,10,4,0.000001
basic,10,8,0.000001
basic,10,16,0
basic,10,32,0.000001
basic,10,64,0.000001
basic,10,128,0.000002
basic,10,256,0.000002
basic,10,512,0.000005
basic,10,1024,0.000011
basic,10,2048,0.000023
basic,10,4096,0.000042
basic,10,8192,0.000075
basic,10,16384,0.000149
basic,10,32768,0.000301
basic,10,65536,0.000639
basic,10,131072,0.001405
basic,10,262144,0.002866
basic,10,524288,0.006108
basic,10,1048576,0.012877
basic,10,2097152,0.026986
basic,10,4194304,0.056595
basic,10,8388608,0.118618
basic,10,16777216,0.251437
basic,10,33554432,0.516393
basic,10,67108864,1.063157
basic,10,134217728,2.248402
basic,11,1,0.000001
basic,11,2,0.000001
basic,11,4,0.000001
basic,11,8,0
basic,11,16,0
basic,11,32,0.000001
basic,11,64,0.000001
basic,11,128,0.000001
basic,11,256,0.000003
basic,11,512,0.000005
basic,11,1024,0.000011
basic,11,2048,0.000023
basic,11,4096,0.000041
basic,11,8192,0.000076
basic,11,16384,0.000148
basic,11,32768,0.000302
basic,11,65536,0.00064
basic,11,131072,0.001355
basic,11,262144,0.003193
basic,11,524288,0.006026
basic,11,1048576,0.012624
basic,11,2097152,0.026605
basic,11,4194304,0.056467
basic,11,8388608,0.118192
basic,11,16777216,0.243939
basic,11,33554432,0.512563
basic,11,67108864,1.074496
basic,11,134217728,2.207245
basic,12,1,0.000001
basic,12,2,0.000001
basic,12,4,0.000001
basic,12,8,0
basic,12,16,0.000001
basic,12,32,0
basic,12,64,0.000001
basic,12,128,0.000002
basic,12,256,0.000002
basic,12,512,0.000004
basic,12,1024,0.000011
basic,12,2048,0.000023
basic,12,4096,0.000042
basic,12,8192,0.000076
basic,12,16384,0.000147
basic,12,32768,0.000303
basic,12,65536,0.00064
basic,12,131072,0.001357
